鳥の羽ばたき,鳥の羽ばたき,./sound/se/ise/ise_205.wav
鈴虫の鳴き声,鈴虫の鳴き声,./sound/se/ise/ise_208.wav
蝉の鳴き声,蝉の鳴き声,./sound/se/ise/ise_209.wav
歓声,歓声,./sound/se/ise/ise_210.wav
爆発,爆発,./sound/se/ise/ise_211.wav
鈴の音,鈴の音,./sound/se/ise/ise_212.wav
拍手,拍手,./sound/se/ise/ise_213.wav
拍手（大勢）,拍手（大勢）,./sound/se/ise/ise_214.wav
風鈴,風鈴,./sound/se/ise/ise_215.wav
ガラスが割れる音,ガラスが割れる音,./sound/se/ise/ise_220.wav
銃声,銃声,./sound/se/ise/ise_221.wav
大砲の発射音,大砲の発射音,./sound/se/ise/ise_222.wav
炎,炎,./sound/se/ise/ise_225.wav
物が燃える音,物が燃える音,./sound/se/ise/ise_226.wav
雷,雷,./sound/se/ise/ise_229.wav
風,風,./sound/se/ise/ise_230.wav
突風,突風,./sound/se/ise/ise_231.wav
竜巻,竜巻,./sound/se/ise/ise_232.wav
地震,地震,./sound/se/ise/ise_233.wav
水に飛び込む,水に飛び込む,./sound/se/ise/ise_234.wav
波の音,波の音,./sound/se/ise/ise_235.wav
川のせせらぎ,川のせせらぎ,./sound/se/ise/ise_236.wav
落下音,落下音,./sound/se/ise/ise_238.wav
水滴,水滴,./sound/se/ise/ise_239.wav
電車内,電車内,./sound/se/ise/ise_240.wav
殴る,殴る,./sound/se/ise/ise_303.wav
重い物を置く,重い物を置く,./sound/se/ise/ise_304.wav
頬をはたく,頬をはたく,./sound/se/ise/ise_305.wav
閃く,閃く,./sound/se/ise/ise_309.wav
魔力チャージ,魔力チャージ,./sound/se/ise/ise_310.wav
魔法発射,魔法発射,./sound/se/ise/ise_311.wav
魔法発動,魔法発動,./sound/se/ise/ise_312.wav
ワープ,ワープ,./sound/se/ise/ise_313.wav
叩く,叩く,./sound/se/ise/ise_314.wav
叩きつける,叩きつける,./sound/se/ise/ise_315.wav
物を投げる,物を投げる,./sound/se/ise/ise_317.wav
物が刺さる,物が刺さる,./sound/se/ise/ise_319.wav
お腹が鳴る,お腹が鳴る,./sound/se/ise/ise_320.wav
銃を構える,銃を構える,./sound/se/ise/ise_321.wav
ゴミを捨てる,ゴミを捨てる,./sound/se/ise/ise_329.wav
スピードアップ,スピードアップ,./sound/se/ise/ise_330.wav
決定音１,決定音１,./sound/se/ise/ise_401.wav
キャンセル１,キャンセル１,./sound/se/ise/ise_402.wav
決定音２,決定音２,./sound/se/ise/ise_403.wav
キャンセル２,キャンセル２,./sound/se/ise/ise_404.wav
金属音,金属音,./sound/se/ise/ise_406.wav
コール,コール,./sound/se/ise/ise_407.wav
クリック,クリック,./sound/se/ise/ise_408.wav
成功音,成功音,./sound/se/ise/ise_409.wav
会計（レジ）,会計（レジ）,./sound/se/ise/ise_410.wav
携帯操作音,携帯操作音,./sound/se/ise/ise_411.wav
